rewire_id,text,label_sexist,label_category,label_vector,split,token,target,keyword
sexism2022_english-9609,"In Nigeria, if you rape a woman, the men rape you back! #NSFW ""In Nigeria, if you rape a woman, guys rape you back!"" by [USER] [URL]",not sexist,none,none,dev,,,
sexism2022_english-16993,"Then, she's a keeper. 😉",not sexist,none,none,train,,,
sexism2022_english-13149,"This is like the Metallica video where the poor mutilated bastard was saying ""Please kill me"" over and over again, only with emojis instead of Morse code.",not sexist,none,none,train,,,
sexism2022_english-13021,woman?,not sexist,none,none,train,,,
sexism2022_english-966,I bet she wished she had a gun,not sexist,none,none,dev,,,
sexism2022_english-14998,Unlicensed day care worker reportedly tells cops she would 'rather be deported than go to jail' after allegedly breaking child's legs,not sexist,none,none,train,,,
sexism2022_english-7228,[USER] Leg day is easy. Hot girls who wear miniskirts get asked out.,sexist,3. animosity,3.3 backhanded gendered compliments,train,Hot girls who wear miniskirts,Hot girls,Hot girls
sexism2022_english-4196,"I don't know if you should avoid this one or encourage her? And, can a woman rape a man? Rape, is forced sex, is it not? [URL]",not sexist,none,none,train,,,
sexism2022_english-872,I get a new pussy every other week or whenever i want really. Didnt have to learn how to either from YouTube videos. Also PUAs dont get laid. At best they get 5/10 asian ladies after spending years pretending to be something they aren't. Its pathetic,sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,train,"I get a new pussy, PUAs dont get laid","asian ladies, PUAs",pussy
sexism2022_english-3553,"I agree with that but at the same time I know myself well enough to say I can’t love a woman. The minute she begins to hit the wall and some hotter, younger women enters the picture, it’s time for impulse control because I’m going to want that.",sexist,2. derogation,2.1 descriptive attacks,dev,"I can't love a woman,  she begins to hit the wall",women ,
sexism2022_english-11318,Release that shit,not sexist,none,none,train,,,
sexism2022_english-11688,Making games is a better cope. If you like games try making one. Educating yourself on things and trying to create is an underrated cope.,not sexist,none,none,train,,,
sexism2022_english-19587,Guaranteed she chimped after being denied use of her expired coupon.,not sexist,none,none,train,,,
sexism2022_english-12563,Black ops 1's first dlc was ascension,not sexist,none,none,train,,,
sexism2022_english-14992,O come on there's no way any men are attracted to her shes a pig🙄,sexist,2. derogation,2.3 dehumanising attacks & overt sexual objectification,train,"she's a pig, ",she,pig
sexism2022_english-13328,"democrats from Minnesota (leftist muzzie shithole) are the dumbest anti-americans there are. KLobuchar, one of the reps. is a dumb bitch who has a moronic position on the tax bill. Fuck this stupid woman",sexist,2. derogation,2.2 aggressive and emotive attacks,dev,"democrats are the dumbest anti-americans , Klobuchar is a dumb bitch , Fuck this stupid woman.","Klobuchar, this stupid woman","dumbest, dumb bitch, Fuck, stupid"
sexism2022_english-7887,I don't really need to. It will be scrubbed from the earth and tossed into the trashcan of history. Your a disgusting shitty human( and I'm being far to kind to consider you human) and your profile reflects that.,not sexist,none,none,train,,,
sexism2022_english-8961,"We need to stop referring to all men as kings and all women as queens, this shit is getting out of hand.",not sexist,none,none,train,,,
sexism2022_english-141,"yes maam , I will just sit here in the corner with my Zima and my pet rock",not sexist,none,none,train,,,
sexism2022_english-4220,I literally HATE the Republicans. I am one but they are a disgrace,not sexist,none,none,train,,,
sexism2022_english-18392,sarah Jeong during her University days,not sexist,none,none,train,,,
sexism2022_english-845,Fuck the niggers and the jews. Both have a history of eating white people and fuck you for suggesting I should get along with people who want to eat me.,not sexist,none,none,test,,,
sexism2022_english-16350,"A slut is a promiscuous woman, so it's just semantics.",not sexist,none,none,train,,,
sexism2022_english-3246,Because i rate humans on a scale for attractivness like 90% of people i know IRL it just so happens women are disgusted by me-and i dont even do it IRL ?,not sexist,none,none,train,,,
sexism2022_english-17045,Yet it isn't over for abusers or serial killers? See that rope? You know what to do.,not sexist,none,none,train,,,
sexism2022_english-12966,Pompous asshole Dems show why the paying people of the USA deplore what the Beltway has become! Pathetic display of moronic childishness!,not sexist,none,none,train,,,
sexism2022_english-7260,"Former BBC journalist Thuto Mali says that universal credit is now a woman’s rights issue as it’s affecting her finances. If she wants to open her legs and sprew a sprog that’s her problem , my problem is I’m not willing to finance the sprog",sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,train,"  she wants to open her legs and sprew a sprog , I'm not willing to finance the sprog",Thuto Mali, sprew a spro
sexism2022_english-6629,Well then good because someone has to knock her ass back in line when she acts like a woman and posts bullshit about her (((based minorities))). If someone is not white they are NOT one of us.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,"knock her ass back in line when she acts like a woman, posts bullshit about her, ","her, based minorities","ass, bullshit"
sexism2022_english-1391,"He should be arrested for Assault and based on his claim that he's raped women, he should be investigated. His bragging could be a confession.",not sexist,none,none,train,,,
sexism2022_english-81,"Texas jury sentences Jordanian immigrant to death in slayings of son-in-law, daughter’s friend in ‘honor killings’ case - AP",not sexist,none,none,dev,,,
sexism2022_english-2727,The only thing lewd is your innuendo young lady.,not sexist,none,none,train,,,
sexism2022_english-16913,"Who the fuck vacations in Haiti? Who grabs the wife & kids & is like ""Lets spend this summer in a garbage dump eating mud cakes""? [URL]",not sexist,none,none,train,,,
sexism2022_english-7022,"I did. You have to have the bravery to escalate, touch her boobs etc, and work on escalating it further.",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,train,touch her boobs ,her,touch her boobs
sexism2022_english-12741,Workers should leave out their BLT sandwiches in the open more.,not sexist,none,none,dev,,,
sexism2022_english-19118,"But ""he"" looks very much was born in a female body and did nothing to change that. I think if ""he"" is attractive enough of a female, she would definitely want to have sex with him.",not sexist,none,none,train,,,
